cbg_norm,sampling_bias,abs_sampling_bias,representation_ratio_final,abs_bias_rank_pct
360610177003,-0.0062258965955299,0.0062258965955299,0.5999749872330494,0.7362777171937477
360610173002,-0.0085352328413335,0.0085352328413335,0.4490861370764002,0.8678662304616503
360610116002,-0.0022911014531886,0.0022911014531886,0.8199887544667975,0.3327880770628862
360610049003,-0.0066516384901505,0.0066516384901505,0.6022197491890243,0.767539076699382
360610072004,0.0043178323085752,0.0043178323085752,1.3256446399260586,0.5719738276990185
360610089004,-0.0022016208826742,0.0022016208826742,0.7927694099446575,0.32242820792439114
360610064001,-0.0018936236483204,0.0018936236483204,0.9161498196715574,0.2831697564521992
360610078001,-0.0038631497417999,0.0038631497417999,0.7430045404695631,0.5276263177026536
360610220005,-0.0115154261036778,0.0115154261036778,0.5120526460305274,0.9556524900036351
360610083002,0.0014119391277135,0.0014119391277135,1.1066765520811293,0.21628498727735368
360610148011,-0.0074079643583506,0.0074079643583506,0.576160206289702,0.8113413304252999
360610128001,-0.0087918569611861,0.0087918569611861,0.5965490741695458,0.8773173391494002
360610083001,-0.001109033690368,0.001109033690368,0.897436067370708,0.16521264994547438
360610118001,-0.0130549216239213,0.0130549216239213,0.303026891863224,0.9772809887313704
360610218002,0.0076809084402744,0.0076809084402744,1.3553611135383976,0.8275172664485642
360610057002,-0.0094947722214598,0.0094947722214598,0.5673430681643699,0.9049436568520538
360610072003,-0.0051319207313123,0.0051319207313123,0.5879875419026871,0.6457651762995275
360610055011,-0.0102378918260579,0.0102378918260579,0.4720740929048082,0.9283896764812796
360610093001,-0.0070650999024434,0.0070650999024434,0.5786849905878773,0.7929843693202472
360610026021,-0.0045085200124109,0.0045085200124109,0.7600571036934546,0.5910577971646674
360610080002,0.0003376183620199,0.0003376183620199,1.0287415836247116,0.05216284987277354
360610073003,-0.009788514748056,0.009788514748056,0.462491693407039,0.916030534351145
360610120004,-0.0134037720241133,0.0134037720241133,0.317145116671052,0.9814612868047983
360610136002,-0.0122824894854152,0.0122824894854152,0.436672373937703,0.9669211195928753
360610124004,-0.0054816969127786,0.0054816969127786,0.6475235145155542,0.6757542711741185
360610134002,-0.0028637146111073,0.0028637146111073,0.7617242738021537,0.40730643402399125
360610200002,-0.0049878268118369,0.0049878268118369,0.7615435256693872,0.6332242820792439
360610142004,-0.0061578910520902,0.0061578910520902,0.2629726460390802,0.7311886586695747
360610110001,-0.00420555130707,0.00420555130707,0.7127747284590323,0.5603416939294802
360610110002,-0.0073169408190458,0.0073169408190458,0.375220304237396,0.806797528171574
