GEOID,populationE,med_ageE,med_hh_incomeE,bachelor_degree_25E,whiteE,blackE,asianE,hispanicE,kmeans_cluster_stability_check
360050378001,1326,40.7,41359.0,0.14705882352941177,0.015082956259426848,0.8499245852187028,0.0,0.1870286576168929,3
360050145004,1870,33.9,32083.0,0.03529411764705882,0.10053475935828877,0.4219251336898396,0.0,0.5887700534759358,1
360050145003,1206,23.9,26647.0,0.10530679933665009,0.06053067993366501,0.6086235489220564,0.0,0.37396351575456055,3
360050267022,806,34.8,20705.0,0.06823821339950373,0.40074441687344914,0.13895781637717122,0.02977667493796526,0.8312655086848635,1
360050267013,965,28.0,39722.0,0.14715025906735751,0.07046632124352331,0.22072538860103627,0.15129533678756477,0.7637305699481866,1
360050267023,1392,27.6,40536.0,0.07830459770114942,0.13649425287356323,0.040948275862068964,0.0,0.9410919540229885,1
360050267025,974,33.9,58176.0,0.10164271047227925,0.015400410677618069,0.3193018480492813,0.0,0.7361396303901437,1
360050267026,1874,32.3,23500.0,0.12059765208110992,0.13553895410885805,0.3025613660618997,0.0,0.7379935965848452,1
360050273003,2720,33.6,29280.0,0.09227941176470589,0.08713235294117647,0.32794117647058824,0.0022058823529411764,0.7341911764705882,1
360050274011,805,43.3,79375.0,0.20993788819875778,0.8360248447204969,0.08695652173913043,0.0,0.1639751552795031,0
360050274013,2384,46.7,94878.0,0.17869127516778524,0.8208892617449665,0.0,0.017197986577181208,0.23364093959731544,0
360050274014,1055,43.6,93125.0,0.20568720379146918,0.8881516587677725,0.0,0.01042654028436019,0.5080568720379147,0
360050274021,1733,55.7,88917.0,0.2619734564339296,0.8113098672821697,0.0207732256203116,0.009809578765147143,0.20773225620311597,0
360050274022,524,43.7,44073.0,0.25572519083969464,0.9694656488549618,0.015267175572519083,0.0,0.09351145038167939,0
360050277004,2023,32.0,21429.0,0.08502224419179437,0.12753336628769155,0.13494809688581316,0.0,0.8447849728126545,1
360050279005,649,36.9,71071.0,0.23266563944530047,0.37596302003081666,0.12480739599383667,0.05855161787365177,0.5331278890600925,1
360050285002,365,62.4,33708.0,0.14246575342465753,0.7287671232876712,0.06575342465753424,0.038356164383561646,0.4410958904109589,0
360050285004,1327,30.5,77203.0,0.4287867370007536,0.6631499623210249,0.05425772418990203,0.15749811605124342,0.3752825923134891,0
360050287003,1034,38.1,61146.0,0.13926499032882012,0.4284332688588008,0.12282398452611218,0.06479690522243714,0.7040618955512572,1
360050293011,943,62.6,108333.0,0.6914103923647932,0.8685047720042418,0.02332979851537646,0.016967126193001062,0.12513255567338283,4
360050293021,727,58.8,95380.0,0.4951856946354883,0.7634112792297112,0.11279229711141678,0.023383768913342505,0.13204951856946354,4
360050293022,1457,46.1,91711.0,0.37268359643102267,0.665751544269046,0.013040494166094716,0.013040494166094716,0.37268359643102267,0
360050293024,1556,58.0,96000.0,0.5070694087403599,0.7474293059125964,0.09318766066838047,0.04113110539845758,0.16452442159383032,4
360050166001,1686,38.6,67443.0,0.16548042704626334,0.4958481613285884,0.14768683274021352,0.05575326215895611,0.6322657176749703,1
360050166002,678,37.0,49375.0,0.12979351032448377,0.4808259587020649,0.0,0.038348082595870206,0.6799410029498525,1
360050194001,2334,33.7,52250.0,0.18251928020565553,0.3723221936589546,0.10239931448157669,0.02956298200514139,0.6520994001713796,1
360050379002,1054,26.5,18141.0,0.006641366223908918,0.04743833017077799,0.6546489563567363,0.0,0.3387096774193548,3
360050365012,1882,25.8,43884.0,0.10255047821466524,0.140807651434644,0.5749202975557917,0.0,0.4628055260361318,1
360050039002,1642,28.4,66167.0,0.0194884287454324,0.07978075517661389,0.39707673568818513,0.0,0.523142509135201,1
360050039004,913,33.0,29432.0,0.07886089813800658,0.16319824753559695,0.10624315443592552,0.0,0.8937568455640745,1
360050039003,1094,45.6,14545.0,0.10420475319926874,0.2303473491773309,0.28153564899451555,0.0,0.6188299817184644,1
360050054002,2343,33.5,32126.0,0.030729833546734954,0.21382842509603073,0.3004694835680751,0.01195049082373026,0.7157490396927016,1
360050054003,1525,26.1,37663.0,0.013114754098360656,0.13508196721311475,0.04721311475409836,0.015081967213114755,0.84,1
360050062003,2321,27.4,25420.0,0.06074967686342094,0.16975441619991383,0.5333907798362775,0.0,0.4760878931495045,1
360050213011,223,37.9,22143.0,0.053811659192825115,0.13901345291479822,0.2600896860986547,0.0,0.8923766816143498,1
360050229013,754,29.1,27633.0,0.042440318302387266,0.1419098143236074,0.5106100795755968,0.0,0.9018567639257294,1
360050031001,1703,31.3,44583.0,0.07692307692307693,0.21550205519671167,0.29947152084556666,0.020551967116852612,0.721080446271286,1
360050038001,1434,34.7,41438.0,0.04811715481171548,0.5536959553695955,0.34518828451882844,0.0048814504881450485,0.6687587168758717,1
360050041001,1389,26.3,16845.0,0.02087832973362131,0.0964722822174226,0.10511159107271419,0.012239020878329733,0.86321094312455,1
360050041002,1889,33.3,23924.0,0.06881948120698782,0.26045526733721547,0.08946532556908417,0.01270513499205929,0.8634197988353626,1
360050119003,711,26.3,33261.0,0.05485232067510549,0.2419127988748242,0.4641350210970464,0.0,0.38255977496483823,1
360050248003,934,35.1,62688.0,0.3436830835117773,0.582441113490364,0.06638115631691649,0.23019271948608136,0.23126338329764454,0
360050248001,1023,59.4,67344.0,0.17302052785923755,0.5835777126099707,0.18181818181818182,0.053763440860215055,0.2512218963831867,0
360050408002,1078,30.6,52500.0,0.07235621521335807,0.022263450834879406,0.8061224489795918,0.0,0.23562152133580705,3
360050484002,1017,41.1,62826.0,0.1976401179941003,0.0855457227138643,0.6420845624385447,0.0,0.2704031465093412,3
360050266022,1213,33.7,65500.0,0.25721352019785654,0.43033800494641383,0.1236603462489695,0.0247320692497939,0.6207749381698269,1
360050266021,1684,43.4,55398.0,0.20843230403800475,0.4192399049881235,0.09798099762470308,0.017814726840855107,0.5866983372921615,1
360050364001,952,37.9,61964.0,0.15231092436974789,0.005252100840336135,0.8613445378151261,0.0,0.13130252100840337,3
360050449021,969,38.7,58167.0,0.23323013415892674,0.7440660474716202,0.16615067079463364,0.04540763673890609,0.06604747162022703,0
360050449022,907,38.2,75250.0,0.36604189636163176,0.8390297684674752,0.019845644983461964,0.047409040793825796,0.1422271223814774,0
360050184002,903,32.3,102778.0,0.24031007751937986,0.8781838316722038,0.03986710963455149,0.05758582502768549,0.31450719822812845,0
360050184001,1161,39.0,75904.0,0.15676141257536608,0.5391903531438416,0.012919896640826873,0.0,0.5030146425495263,1
360050184003,1243,45.3,60625.0,0.21480289621882542,0.5148833467417538,0.03700724054706356,0.0,0.6532582461786002,1
360050132001,899,43.2,114608.0,0.23692992213570635,0.5216907675194661,0.46162402669632924,0.0,0.22691879866518352,0
360050132003,1635,43.0,96893.0,0.3076452599388379,0.7064220183486238,0.14067278287461774,0.0012232415902140672,0.6159021406727829,0
360050132002,1358,33.1,116767.0,0.29086892488954347,0.24889543446244478,0.38217967599410896,0.0,0.4992636229749632,1
360050132004,1516,41.8,131860.0,0.2170184696569921,0.5079155672823219,0.24538258575197888,0.06992084432717678,0.48284960422163586,0
360050216011,1506,34.1,29303.0,0.053784860557768925,0.1845949535192563,0.30345285524568394,0.0,0.6826029216467463,1
360050216013,821,36.6,31500.0,0.06211936662606577,0.4445797807551766,0.4092570036540804,0.0,0.7661388550548112,1
360050227031,1736,31.8,46635.0,0.17799539170506912,0.1630184331797235,0.27246543778801846,0.06509216589861751,0.717741935483871,1
360050216012,1129,33.7,30313.0,0.11071744906997343,0.08148804251550044,0.2533215234720992,0.12134632418069087,0.49867139061116034,1
360050256002,868,26.8,43571.0,0.11290322580645161,0.2960829493087558,0.20967741935483872,0.10368663594470046,0.5737327188940092,1
360050256001,820,43.2,42344.0,0.22682926829268293,0.573170731707317,0.22682926829268293,0.11951219512195121,0.40853658536585363,0
360050237021,1143,32.7,37083.0,0.06124234470691164,0.09623797025371829,0.2204724409448819,0.0026246719160104987,0.7874015748031497,1
360050240001,2151,28.2,35978.0,0.12831241283124128,0.1789865178986518,0.1910739191073919,0.019525801952580194,0.6782891678289168,1
360050240002,1022,22.6,31541.0,0.04794520547945205,0.1908023483365949,0.27299412915851273,0.0,0.6868884540117417,1
360050263002,815,33.8,29042.0,0.0196319018404908,0.11779141104294479,0.015950920245398775,0.0,1.0,1
360050263001,779,25.6,18393.0,0.01797175866495507,0.20667522464698332,0.01797175866495507,0.0,0.982028241335045,1
360050265002,2070,32.6,26136.0,0.1289855072463768,0.14299516908212562,0.09758454106280193,0.06231884057971015,0.8,1
360050265001,2489,31.2,38510.0,0.043390920048212135,0.12856568903173965,0.11691442346323824,0.05504218561671354,0.7300120530333467,1
360050281002,949,43.0,52292.0,0.24446786090621708,0.46996838777660693,0.15279241306638566,0.02423603793466807,0.5152792413066386,1
360050281003,1931,51.5,81645.0,0.3013982392542724,0.4717762817193164,0.2542723977213879,0.011393060590367685,0.474883480062144,0
360050283001,1452,28.1,16690.0,0.087465564738292,0.1825068870523416,0.5709366391184573,0.0,0.4834710743801653,1
360050314002,1122,50.2,84063.0,0.19786096256684493,0.5561497326203209,0.11051693404634581,0.13368983957219252,0.28698752228163993,0
360050145002,2217,24.1,19632.0,0.02029769959404601,0.04510599909788002,0.41362201172755975,0.0,0.8448353631032928,1
360050201002,1400,20.8,23413.0,0.04214285714285714,0.16,0.4042857142857143,0.0,0.5314285714285715,1
360050201001,1500,35.9,38821.0,0.11533333333333333,0.14133333333333334,0.44066666666666665,0.012,0.6086666666666667,1
360050390002,1149,40.2,48354.0,0.0783289817232376,0.019147084421235857,0.9120974760661444,0.053959965187119235,0.04525674499564839,3
360050390001,1617,30.0,40288.0,0.12183055040197897,0.12059369202226346,0.8119975262832406,0.0,0.2529375386518244,3
360050393003,1140,34.2,25508.0,0.12982456140350876,0.22982456140350876,0.07368421052631578,0.0,0.8017543859649123,1
360050393002,1858,28.5,20714.0,0.02852529601722282,0.19106566200215286,0.48277717976318624,0.0,0.5753498385360603,1
360050403021,2685,30.6,34408.0,0.0845437616387337,0.11433891992551211,0.11955307262569832,0.01564245810055866,0.8893854748603351,1
360050404002,651,22.9,35729.0,0.1781874039938556,0.07219662058371736,0.7987711213517665,0.0,0.2073732718894009,3
360050404001,1521,39.0,72426.0,0.2504930966469428,0.09204470742932282,0.8704799474030244,0.0,0.08481262327416174,3
360050407012,301,50.7,24167.0,0.14950166112956811,0.23255813953488372,0.2292358803986711,0.0,0.7342192691029901,1
360050328002,1209,33.9,18355.0,0.060380479735318446,0.20430107526881722,0.4441687344913151,0.0,0.5268817204301075,1
360050328003,1031,37.7,63333.0,0.13191076624636275,0.1784675072744908,0.027158098933074686,0.27449078564500484,0.501454898157129,1
360050374001,1245,22.1,24832.0,0.020080321285140562,0.163855421686747,0.5244979919678715,0.00642570281124498,0.4859437751004016,1
360050374002,1102,45.9,39904.0,0.13611615245009073,0.1161524500907441,0.6125226860254084,0.024500907441016333,0.34210526315789475,3
360050374003,650,49.4,21602.0,0.03538461538461538,0.10307692307692308,0.6676923076923077,0.0,0.4461538461538462,3
360050330002,1703,29.3,40326.0,0.058719906048150326,0.5537287140340575,0.029359953024075163,0.0,0.4961832061068702,1
360050330003,1934,41.2,48606.0,0.08324715615305067,0.7425025853154085,0.042916235780765255,0.0,0.2528438469493278,0
360050356001,1439,42.4,88864.0,0.22724113968033358,0.02849200833912439,0.6233495482974287,0.11535788742182071,0.21403752605976373,3
360050368001,961,34.3,48452.0,0.11966701352757544,0.15608740894901144,0.7710718002081165,0.0,0.22892819979188345,3
360050449011,734,45.0,61500.0,0.26021798365122617,0.782016348773842,0.14577656675749318,0.027247956403269755,0.13487738419618528,0
360050382002,1393,35.1,46680.0,0.08758076094759512,0.04737975592246949,0.8693467336683417,0.0,0.15793251974156497,3
360050382001,1550,33.0,49722.0,0.13032258064516128,0.09741935483870967,0.6664516129032259,0.04258064516129032,0.3096774193548387,3
360050301001,788,71.9,21364.0,0.3197969543147208,0.6243654822335025,0.1116751269035533,0.03426395939086294,0.33883248730964466,0
360050407011,1180,32.6,26786.0,0.10508474576271186,0.08813559322033898,0.07711864406779662,0.025423728813559324,0.8355932203389831,1
360050415001,1286,44.5,30590.0,0.22706065318818042,0.104199066874028,0.24650077760497668,0.0,0.6415241057542769,1
360050415002,525,31.5,59815.0,0.12571428571428572,0.4095238095238095,0.41333333333333333,0.0,0.4876190476190476,1
360050436002,1115,37.2,101806.0,0.20986547085201793,0.07174887892376682,0.6044843049327354,0.07174887892376682,0.20089686098654708,3
360050448001,1180,44.9,83625.0,0.2135593220338983,0.016101694915254237,0.8949152542372881,0.0,0.07288135593220339,3
