store_id,naics_code,top_category,sub_category,brand_name,match_type
sg:387ebe6362694ef6b044234ac03c83d9,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:3a4060c35bfc474a84d54b65e7a02921,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:3a732748a46745c5a7160c44918a749d,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:3a98413525ca4c7c951f55f909d88ae3,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:4217cdcdfa1a4bf7995658ea27daa03e,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:4354d7baafc144e0bbcfb7cf71291ab1,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:47100327f10749238b9411f96978c80b,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:50391f81826f4750b49669c5728c16dc,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:50b81f30e1f1469c923ce9f8a9b3dc53,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:50d199f06b9a4e71adcdff775a96b76a,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:58b249900f89411ea2a9add35d965111,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:5bb49882b89943a7916ae54a526eafb2,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:5d881feeaae5498782c99ea40400a61f,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:5ecf9f58c58e42f3be431114c06a8075,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:63771b7a35214344bd8da3f2fddca6c5,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:6d7641eaac474112b172e96f5fd81d40,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:71d024995ff946e1b9bb4a5535b59272,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:78b8260acbe0488db1ff710a6dc7a392,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:7b03f24744384489bd8219d542d2ee7f,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:7c6b01fda7c04a898f8b77b80367241e,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:818d45938511426b8862db60f3c24fb4,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:841565ed9f7c4eef839d020547afdeef,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:8660c270c5434538bf8fe7e2e85c15d0,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:8872e33244d647c0b58dbba7e0b78a3f,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:8cc7127dbb7d4aac81188f26c68477c6,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:8d9058a29b0648d9bb1b92bb13ba0301,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:9398e2c56ff84c5e9237c175be74431f,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:9a1339a9c7014409b442216a751c7f68,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:9c097976c6414444bfd79c42e54fbd79,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:9c41a1a1bcba4db4a9e11d2b962f6b9b,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:a1eb0e6f38994e40859b4bf5e9fc15d4,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:a245ea38dade47f89e964a9ffe282310,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:a4a922cc72fd4e0daa9379770fe00497,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:b1268d19f8b943f4ac6acf79f13146fa,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:b77ee98a911e493ca503f05eee1564ba,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:bc29b9a711c04045a3228d044a398ef6,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:bf843b09882a4c63aeacbe40489a410b,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:c38f81e7fe2b4b48a6e258824983b741,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:c9f3640ce69c41cdb53e193c306a1dc8,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:cb45cdbdfc3e476ab2fe56504b1182d7,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:cb8120759a5a45ee9152c6912bbe7dcc,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:cc0dd4d9bf6b467481c78729050f6a67,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:cc13bc704b1a482cae13c4ad8ecd2567,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:d105bf0eae3a46d19b3743147244f5c6,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:d1831762b70d41029db47f9333301875,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:d1cd0493872448b0b99214b9fe57b12c,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:daad1ee16aa744f49a6861787fb481b2,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:e4a45b8d770f47ce8b418f4241a71459,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:e7da57bc9dab467490b88ad810d9f456,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:e84f86e6feea4a98b00d1d0461bef5c7,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:ec8961ae058d42f684cc6bfe45e04aee,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:f17594ad862f4e1f983fcf49f0053e41,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:f26cda174a4c4e808398cc108ec3a565,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:0156d4380d684d8dae668182ad77336d,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:01ee3a6c780a4e998e12a4960d3337b5,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:098221490c474e6cbc4ca8a2162f7170,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:10efeb7c06ac4940a3d4e996c0ce5476,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:187d4b6602c845c3bfede20a1deeb8d1,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:27cc31a6e5dd4537b432b046c6437756,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:29c79c88d17e4425b887362fa7d8ec6e,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:3021c5125db144b094763c74cd841eea,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:33b55498dcb342739de0421942bc8166,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:3a35bc5026144defa900241ca35d66f9,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:3f7eae4c4d2d4d0f846dc484d1fdbff6,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:3f8d237767dc4dda8c8ed80f0e7d359d,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:429f4ee166ff4523be060774d8354a8e,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:48ffced0ef214827b3c12bc14358a708,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:4e04d8f16bcd4949a5e7196351a23192,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:4e1b85602ba44dbea0782c771bff6f76,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:565c38744003455a827b3d519262f16d,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:57e815f282a143efab61b6521208d5b8,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:5c95598f27144749b561ff3184289fab,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:5dbc836023244c6699ef97103a64100d,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:6132a084ff434fc2af7519aa2584bed7,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:670f3d81cc5f44f5835954f0285f57af,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:6e8e5275469d4e7391180e06281ba7c6,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:6eb37e997f3e4ea68c4ffda26c95ebf2,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:728370e11af146f1811007f43cbda214,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:7f918943035149d8919971e47ebdb413,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:8a784002ad6d40af91273f3e9c0a8f48,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:8c3682f94b904ddaa314f80d95868539,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:8d376e7211074b6f8da481353e0a4627,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:90a04f3d29784b84ad73e55909e864f8,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:94b69491e8394408a41b4eaf79700a9a,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:960e0ec62d584e21a0ef5a8ed9da1347,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:96c45f70847746cebba519d17cc39eea,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:9a69cf7d67d540028b2f3e40d440e4b5,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:9dcc84edaf314d00abae543021508791,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:9eb8be9411e34838b8676d265c3dac8e,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:a27b2d3115fe4e5b9b9fc7aab7d2e1f0,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:a35f4c7a485b4b0884f71d609838533d,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:adaf2f1e2a3e41beb49f62416c9124d5,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:b261ab19c88f4f68bb8efd01f0bea507,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:b97dc59beab442a1833e4f2dbaf208f5,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:ba352b40d9a2463081b59c2536d2b782,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:be346878d5514402b7cd45b40caf1ea9,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:c0e2ef9a17a84bca88a19da71d33e38c,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:c97e4dae548b43139260d6d4baf9ef5b,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:cbf75ce056fb4f93873e3770f30d47fe,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:d311de11514c4dbb8f21fe34fdbd3490,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:d5b8814be80d4652992bce92c054459f,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:de4939b1c45441ca9fb98c50fe2be340,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:de8d60134ac940b69240e78bf29a50ab,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:e7aa5379ab47491580bc46b59073e80e,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:ede0c3b8b3a143848181ee2430390072,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:f310ba51c257496da0027ad563708bb4,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:f3f4e29cdc174e05a232d5a268a526eb,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:fcee52f5e49b4a02b4d161b6e12dfb4c,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:fe5e273c7b7f42e5b26636f524ac0b72,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Family Dollar Stores,brand_id
sg:1357d1d4e01c48c4b7f8da3484c7931f,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Five Below,brand_id
sg:18e5fa546fc54b98a4dc678784ec5042,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Five Below,brand_id
sg:6f47d9a09f454730b50efa86b1420da3,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Five Below,brand_id
sg:75fae73155564561bb5d6be20e233570,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Five Below,brand_id
